2018-04-30 13:43:01,638 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:43:01,638  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:45:02,395  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 24128 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:45:02,401 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:45:02,402  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:45:29,054  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 11928 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:45:29,060 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:45:29,061  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:46:31,106  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 22732 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:46:31,112 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:46:31,112  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
